productos_descripcion|productos_cantidad_presentacion|productos_marca|productos_precio_lista
CAFE EN GRANOS TOSTADO CABRALES BOLSA X 500 GRS|1.0|CABRALES|21859.0
CAFE INSTANTANEO COLOMBIA NESCAFE FRASCO X 100 GRS|1.0|NESCAFE|23019.0
CAFE MOLIDO CLASICO LA MORENITA PAQUETE X 1 KG|1.0|MORENITA|25400.0
CAFE MOLIDO INTENSO SENSACIONES BONAFIDE X 1KG|1.0|SENSACIONES|25450.0
CAFE MOLIDO TOSTADO SUPER CABRALES X 500 GRS|1.0|CABRALES|25650.0
CAFE INSTANTANEO EXPRESSO GOLD NESCAFE X 100 GRS|1.0|NESCAFE|25659.0
CAFE EN GRANO TOSTADO COLOMBIA MORENITA X 500 GRS|1.0|MORENITA|26100.0
CAFE MOLIDO TOSTADO SUPER CABRALES X 500 GRS|1.0|CABRALES|27069.0
CAFE EN GRANOS TOSTADO ILLY LATA X 250 GRS|1.0|ILLY|27800.0
VINO ESPUMANTE DEMI SEC CINZANO TO SPRITZ X 750 CC|1.0|CINZANO|8999.0
VINO ESPUMANTE BRUT NATURE ROSE CHANDON X 750 CC|1.0|CHANDON|20839.0
VINO ESPUMANTE BRUT NATURE CHANDON X 750 CC|1.0|CHANDON|20839.0
VINO ESPUMANTE EXTRA BRUT LUIGI BOSCA X 750 CC|1.0|LUIGI BOSCA|22429.0
VINO ESPUMANTE BRUT NATURE PIATELLI BOT X 750 CC|1.0|PIATTELLI|23100.0
VINO ESPUMANTE BRUT NATURE ALYDA X 750 CC|1.0|ALYDA|24300.0
VINO ESPUMANTE BRUT ROSE ALYDA X 750 CC|1.0|ALYDA|25300.0
VINO ESPUMANTE NATURE LA POSTA BOT X 750 CC|1.0|LA POSTA|26050.0
VINO ESPUMANTE EXTRA BRUT EST MAGNUM CHANDON X1500CC|1.0|CHANDON|39570.0
VINO ESPUMANTE ROSE BARON B X 750 CC|1.0|BARON B|41849.0
VINO ESPUMANTE BRUT NATURE BARON B X 750 CC|1.0|BARON B|41849.0
VINO TINTO MALBEC NIETO SENETINER BOT X 750 CC|1.0|NIETO SENETINER|10000.0
VINO BLANCO CHARDONNAY RESERVA NORTON BOT X 750 CC|1.0|NORTON|10150.0
VINO BLANCO PINOT GRIS ORGANICO ARTESANO X 750CC|1.0|VINO ARTESANO|10412.87
